half_sat,p_managed,fr_spring,fr_summer,fr_autumn,fr_winter,n_cavity,n_stem,n_ground,p_dep,p_abund,pdep_y_w,y_tot,y_wild
0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.01,0.063422,0.670000,1.000000,0.006700
0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.063422,0.670000,1.000000,0.221100
0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.063422,0.670000,1.000000,0.442200
0.01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.99,0.063422,0.670000,1.000000,0.663300
0.01,0.33,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.01,0.081269,0.670000,1.000000,0.006700
0.01,0.33,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.33,0.081269,0.670000,1.000000,0.221100
0.01,0.33,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.66,0.081269,0.670000,1.000000,0.442200
0.01,0.33,0.33,0.33,0.33,0.33,0.66,0.66,0.66,0.99,0.081269,0.670000,1.000000,0.663300
0.01,0.33,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.01,0.099117,0.670000,1.000000,0.006700
0.01,0.33,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.33,0.099117,0.670000,1.000000,0.221100
0.01,0.33,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.66,0.099117,0.670000,1.000000,0.442200
0.01,0.33,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.99,0.099117,0.670000,1.000000,0.663300
0.01,0.33,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.01,0.080888,0.670000,1.000000,0.006700
0.01,0.33,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.33,0.080888,0.670000,1.000000,0.221100
0.01,0.33,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.66,0.080888,0.670000,1.000000,0.442200
0.01,0.33,0.66,0.66,0.66,0.66,0.01,0.01,0.01,0.99,0.080888,0.670000,1.000000,0.663300
0.01,0.33,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.01,0.115306,0.670000,1.000000,0.006700
0.01,0.33,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.33,0.115306,0.670000,1.000000,0.221100
0.01,0.33,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.66,0.115306,0.670000,1.000000,0.442200
0.01,0.33,0.66,0.66,0.66,0.66,0.33,0.33,0.33,0.99,0.115306,0.670000,1.000000,0.663300
0.01,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.01,0.150800,0.670000,1.000000,0.006700
0.01,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.33,0.150800,0.670000,1.000000,0.221100
0.01,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.150800,0.670000,1.000000,0.442200
0.01,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.99,0.150800,0.670000,1.000000,0.663300
0.01,0.33,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.01,0.186293,0.670000,1.000000,0.006700
0.01,0.33,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.33,0.186293,0.670000,1.000000,0.221100
0.01,0.33,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.66,0.186293,0.670000,1.000000,0.442200
0.01,0.33,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.99,0.186293,0.670000,1.000000,0.663300
0.01,0.33,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.01,0.110776,0.670000,1.000000,0.006700
0.01,0.33,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.33,0.110776,0.670000,1.000000,0.221100
0.01,0.33,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.66,0.110776,0.670000,1.000000,0.442200
0.01,0.33,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.99,0.110776,0.670000,1.000000,0.663300
0.01,0.33,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.01,0.162381,0.670000,1.000000,0.006700
0.01,0.33,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.33,0.162381,0.670000,1.000000,0.221100
0.01,0.33,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.66,0.162381,0.670000,1.000000,0.442200
